Properties.Namespace,CPUCost,GpuCost,NetworkCost,RAMCost,SharedCost,TotalCost
default,0,0,0,0,0,0.00577
kube-system,0.15608,0,0,0.00463,0,0.16071
opencost,0.00416,0,0,0.00286,0,0.00702
prometheus,0,0,0,0,0,0.00649
