Properties.Namespace,CPUCost,GpuCost,NetworkCost,RAMCost,SharedCost,TotalCost
kube-system,0.1383,0,0,0.0041,0,0.1424
opencost,0.00369,0,0,0.00253,0,0.00622
prometheus,0,0,0,0,0,0.00575
default,0,0,0,0,0,0.00511
